id,region,language,revision,status,size,sha1,sha256,notes
emerald-jp-rev0,Japan,Japanese,0,candidate,16777216,d7cf8f156ba9c455d164e1ea780a6bf1945465c2,33f5610b9186b4add09fef68895deb00f552b997b3d133b5a961e5123506343c,"Title POKEMON EMER; game code BPEJ; maker 01; checksum 0x6d"
emerald-en-rev0,USA/Europe,English,0,candidate,16777216,f3ae088181bf583e55daf962a92bb46f4f1d07b7,a9dec84dfe7f62ab2220bafaef7479da0929d066ece16a6885f6226db19085af,"Title POKEMON EMER; game code BPEE; maker 01; checksum 0x72; observed under two duplicate local filenames"
